"number","road","rest","place","amount","norm"
"2","國道1號","湖口服務區(南站)","服務區停車場,駕駛人休息室旁","6","快充:CCS1、CCS2、TPC 慢充: J1772、IEC62196-2"
"3","國道1號","西螺服務區","加油站內","4","快充:DC-CCS1、CCS2"
"4","國道3號","關西服務區","服務區停車場，小型車第I排","6","慢充:J1772"
"5","國道3號","清水服務區","服務區停車場，A區","6","快充:DC-CCS1、CCS2、TPC 慢充:J1772、IEC62196-2"
"6","國道3號","東山服務區","服務大廳後方，加油站旁","6","快充:DC-CCS1、CCS2、TPC 慢充:J1772、IEC62196-2"
"10","國道1號","林口","停車場","10","sss"
"11","國道2號","宜蘭","廁所","200","慢"
"20","國道1號","湖口","停車場","100","慢充"
"30","國道2號","宜蘭","停車場","200","慢充"
"50","國道2號","宜蘭","廁所後","20","SRC"
"200","國道2號","宜蘭","廁所前","30","sss"
"209","83","84","95","92","01"
